text,sentiment
12,"I thought this move was very good. There were a few things that were less than perfect, but overall, I was quite surprised. The courtroom scene in the end seemed a little unrealistic, but was real enough to be entertaining. I found that the movie communicated the hardships of going though military training and the sacrifices that go along with it. Being a military pilot I could relate to many of these parts.",1
13,"I think this film has much to recommend it, particularly an especially sinister performance by David Morse and a more than passable performance by the always worth watching Mr. Foxx. Although there are a lot of holes in the plot and the motivation is very, very hard to follow in some cases, all in all, it makes for a nice time in front of the tube.",1
14,"I have to tell you, this is a great movie. It surprises me sometimes how good a movie with no pretenses can be. This one is just fabulous. It could be that it isn't TRYING too hard to send any kind of message; it just tells a whimsical, fun story. I gave it a 10 out of 10.",1
15,"Watching this film for the action is rather a waste of time, because the figureheads on the ships act better than the humans. It's a mercy that Anthony Quinn couldn't persuade anyone else to let him direct any other films after this turkey.<br /><br />But it is filled with amusement value, since Yul Brynner has hair, Lorne Greene displays an unconvincing French accent, and the rest of the big names strut about in comic-book fashion.",0
16,"Pointless, humourless drivel.....meant to be a comedy; but not one laugh in the whole film. Gratuitous violence often with guns. What kind of warped mentality can either make or say this is a good film?! 1 out of 10.",0
17,This movie has beautiful scenery. Unfortunately it has no plot. In order to have a plot there must be a conflict. This movie had none. It spent two hours painting a beautiful scene and failed to ever place any activity in it. The picture tries to be artistic but fails to pay attentions to the fundamentals of story telling.<br /><br />If you love Montana scenery and fly fishing you will find some value in this film just don't expect a story. There isn't one.,0
18,It's terrific when a funny movie doesn't make smile you. What a pity!! This film is very boring and so long. It's simply painfull. The story is staggering without goal and no fun.<br /><br />You feel better when it's finished.,0
19,Hobgoblins is a very cheap and badly done Gremlins rip-off. That's the best thing one can say about this stinkpile. Pretty much everyone in the cast was chosen for their looks and not their acting ability. It was very painful to watch.<br /><br />Avoid this one at all costs.,0
20,"It was nice to see all the familiar characters again, but the story bothered me. We loved Ariel in the first movie- so why is the second one centered around her daughter? The new characters were annoying and I didn't like the plot of this. Worst of all, Christopher Daniel Barnes didn't come back as the voice of Eric! Disney, please stop remaking classic movies with these shoddy imitations.",0
21,"I first saw this movie on MST3K. And although I laughed my posterior off at the jokes, I don't particularly think this movie was all that bad. Sure it was a little hard to understand it is quite obviously low budget, But it had a very Hitchcock-like plot and I can honestly say that when I viewed the non-MST3K version, I was genuinely entertained. This movie is crying out for a Hollywood remake.",0
22,<br /><br />Robot jox is a great little film ok some of the sets are bad and the acting is not that great but the special effects are very good for a film of this size and age. You have to remember that this film is over 10 years old now and was made very cheaply in the 1st place so you cant moan to much about the bad parts. So just sit back and watch a cool film with great big robots in it.,1
23,"Since I had loved the Inspector Gadget cartoon in the 80's, I went to see this movie. I wasted my money. The plot was very thin. Also, the movie could not keep me interested for long. I was glad it was over.<br /><br />If you want to see Inspector Gadget, watch the cartoon instead. It was much better than the movie.",0
24,"Boris and Bela do well together in this film,whether they are against each other, or paddling the same boat.I saw this one in 1972, and just purchased it from Borders this year. This time watching it with my children,I took note of 2 things: It held the attention of a 3, 4 and 5 year old; and I caught a few things I hadn't when I first watched it.Very swift story with an unpredictable end. A must for movie buffs!!!",1
25,"Story of a good-for-nothing poet and a sidekick singer who puts his words to music. Director Danny Boyle has lost none of his predilection for raking in the gutter of humanity for characters but he has lost, in this film, the edge for creating inspiring and funny films. Strumpet is painful to watch and barely justified by the fact that it was made for TV.",0
26,"The original ""les visiteurs"" was original, hilarious, interesting, balanced and near perfect. LV2 must be a candidate for ""Worst first sequel to a really good film"". In LV2 everyone keeps shouting, when a gag doesn't work first it's repeated another 5 times with some vague hope that it will eventually become funny. LV2 is a horrible parody of LV1, except of course that a parody should be inventive. If you loved LV1 just don't see this film, just see LV1 again!!",0
27,"Dull, cheap sci-fi thriller, made with an almost total lack of conviction (a control room full of computers and other devices used to receive and decipher messages from outer space is run by only ONE MAN, and is VERY poorly guarded at night), and full of campy sound effects. Christopher Lee is not only wasted, but he also gives one of his few ""I'm here strictly for the money"" performances. (*1/2)",0
28,"Weak,stale, tired, cliched; wants to be Basic Instinct, but misses opportunity after opportunity for fresh perspectives, new insights. Insipid, trite, grotesque, and without the possibly-redeeming value of brevity; oh, wait...it was only 90 minutes long...it must have just *seemed* a lot longer! I'd rather clean bus station toilets with my toothbrush than have to sit through this again. I'm expressing an opinion here: I guess this means I didn't like it.",0
29,If you are planning to rent or buy this movie don't. It's the worst thing I have ever seen. I would comment on it more but It has been 10 years since I saw it and have blanked all of it from my mind. Save yourself some time money and well being and stay far far away.,0
30,"I rank this the best of the Zorro chapterplays.The exciting musical score adds punch to an exciting screen play.There is an excellent supporting cast and mystery villain that will keep you guessing until the final chapter.Reed Hadley does a fine job as Don Diego and his alter ego Zorro.Last,but certainly not least,is the great directing team of Whitney and English.",1
31,"This film, originally released at Christmas, 1940, was long thought lost. A very poor copy has resurfaced and made into a CD, now for sale. Don't buy it! The film is unspeakably terrible. The casting is poor, the script is awful, and the directing is dreadful.<br /><br />Picture Roland Young singing and dancing. And that was the highlight.<br /><br />Perhaps this movie was lost deliberately.",0
32,"This film has very tight and well planned dialogue, acting and choreography.<br /><br />Recommended film for anyone who wants to see masterful writing and plot.<br /><br />Question: Does anyone know where the house is actually located? It is one of the most interesting houses, a 19thC windmill.",1
33,"One word can describe this movie and that is weird. I recorded this movie one day because it was a Japanese animation and it was old so I thought it would be interesting. Well it was, the movie is about a young boy who travels the universe to get a metal body so he can seek revenge. On the way he meets very colorful characters and must ultimately decide if he wants the body or not. Very strange, if you are a fan of animation/science-fiction you might want to check this out.",1
34,"This movie got off to an interesting start. Down the road however, the story gets convoluted with a poor illustration of ancient black magic rituals. The male lead was very good , even though he gets the worst end of the stick in the climax. In comparison, this is ""Boomerang"" meets ""Extremities"".",0
35,"While this movie has many flaws, it is in fact a fun '80s movie. Eddie Murphy peaks during his 80's movies here. While his character is indistinguishable from earlier movies, his timing is almost flawless with perfect partners and foils.<br /><br />Couple this with the hypnotic beauty of Charlotte Lewis, this makes for a fun rainy day action-comedy flick.<br /><br />",1
36,"This is one of the most interesting movies I have ever seen. I love the backwoods feel of this movie. The movie is very realistic and believable. This seems to take place in another era, maybe the late 60's or early 70's. Henry Thomas works well with the young baby. Very moving story and worth a look.",1
37,Hello Dave Burning Paradise is a film for anyone who likes Jackie Chan and Indiana Jones. The films main protagonist is most definitely the bastard son of these two strange fathers. As for the other characters well they are familiar transformations of similar action film stereotypes. Where this film is original is in the blending of the traditional Hong Kong movie style with the Hollywood action adventure. Sadly this has not been true of the films he has made in Hollywood.,1
38,"I can see the guys doing the budget preparation for this flick. ""Well lets see now, we spend 50% getting Dirk Benidict, cause Battle Star Galactic and the A-Team were cool. The we spend 40% making a Demon Costume, never mind that the Demon is supposed to be incorporeal in the script. And we spend the rest making the movie."" This was pretty bad and VERY cliche.... Have a loved one present when watching (or bring a good book)",0
39,"I'd completely forgotten about this film until now. This was the most blatant and worst attempt to demonise a hobby that I have ever seen. It's message seemed to be : ""Don't teenagers use their imagination; they might take games seriously, go mad and hurt people."" I can only guess that the unimaginative writers of this piece thought that D&D style games are form of evil ritual or arcane worship.",0
40,This is supposed to be well-researched and based on fact. How come therefore that it's so packed with McGovernisms. Did the people of Derry live in some kind of bizarre Philip K. Dick world in which reality was uncannily like Cracker/ Liam/ Priest? Or is McGovern an idle hack who just keeps repeating hims,0
41,"I have seen this movie more than several times, on TV. I ALWAYS watch it again...NEVER turning the channel. This movie is full of chilling surprises, and absolutely edge-of-your-seat suspenseful, without being overbearing or stupid. Helen Hunt's talent is magnificently shown in this movie! I recommend this movie to anyone!!!",1
42,"Nothing new in this hackneyed romance with characters put into unbelievable situations, speaking dialogue that borders on the ridiculous. This is an example of another movie put into production before serious script problems were solved. Don't waste your time.",0
43,"An excellent film with great performances from Zack & Lochley. Much to their displeasure (& mine) Garibaldi arrived on station. (All due respect to Jerry Doyle but in Seasons 4 & 5 I lost sympathy for the character.) It doesn't take him long to start criticizing Zack (who I love best of all on the show)and taking charge. I'm sure Zack could have coped. The Soulhunter plot is fascinating, especially if you believe in heaven as Zack does. The humour supplements it nicely. 10/10",1
44,"An enjoyable game, which offers fun and easy game play and fair replay ability. Staying true to the comic and providing a low learning curve gives this game something not seen in most action cartridges today. Also, the narration and animated scenes used (though lengthy animations are replaced by slide shows on the Nintendo 64 version) use full advantage of the platforms' capabilities.",1
45,"Enjoyable in spite of Leslie Howard's performance. Mr. Howard plays Philip as a flat, uninteresting character. One is supposed to feel sorry for this man; however, I find myself cheering Bette Davis' Mildred. Ms. Davis gives one her finest performances (she received an Academy Award nomination). Thanks to her performance she brings this rather dull movie to life. **Be sure not to miss when Mildred tells Philip exactly how she feels about him.",1
46,"This movie should not be compared to ""The Sting"", or other caper/heist/con game films. What makes it such a great movie experience is what it has to say about relationships, deceit and trust. It's also a fairly cutting critique of psychiatry, given that the female protagonist is a shrink who is so easily deceived and then acts out in such a primitive manner in the finale. Has Mr Mamet had an unfortunate experience in therapy? Highly, hugely recommended!",1
47,"Growing up in a multi racial neighborhood back in the 20's and 30's, I grew up very close to most of the Italian families living there. This move brought back so many pleasant memories. this is a movie most people would like who enjoy seeing more true to life movies.",1
48,This one is a little better than the first one. It still relies on a lot of its humor which basically keeps saying that the old Bond movies were not realistic. That wears thin after so many parodies. The girls were more interesting in this one.<br /><br />There is a tremendous amount of total gross out humor. Hopefully one day real comedy will come back.,0
49,"I managed to tape this off my satellite, but I would love to get an original release in a format we can use here in the States. Eddie truly is Glorious in this performance from San Francisco. I don't remember laughing so hard at a stand up routine. My wife and I both enjoyed this tape and his work on Glorious I just wish I could buy a copy and help support Eddie financially through my purchase. We need more of his shows available.",1
50,As an adult I really did enjoy this one. I watched it with my 2 granddaughters and the 3 1/2 year old was fascinated and the 15 month old giggled at the mice.<br /><br />The music is fun and the animation is wonderful. This sequel does what Return to Neverland didn't accomplish. A good follow-up to the Cinderella story; but what becomes of Drusilla? Another sequel? I hope so!,1
51,"this movie is another on the list that i did not want to see. i was talked into it and dragged into the theater, but boy am i glad for that. i thought it was going to be just another love story, but it turns out to be SOOO much more than that. definatly an intellectual flick, one of those movies you have to pay attention to.",1
52,Ming The Merciless does a little Bardwork and a movie most foul!,0
53,"All Dogs Go to Heaven is, in my opinion, the best animated film ever made. I'm not really a big fan of animated films, but there's something about this one that makes it better than any other animated film I've seen. The music is wonderful as is the performances of Burt Reynolds, Dom Deluise, and especially Ken Page as the King Gator. ""Let's Make Music Together"" is perhaps one of my favorite songs from any movie musical I've seen. This is definitely a must see for people of all ages.",1
54,"Saw this film in August at the 27th Annual National Association of Black Journalists Convention in Milwaukee, WI, it's first public screening. THE FILM IS GREAT!!! Derek Luke is wonderful as Antwone Fisher. This young actor has a very bright future. The real Antwone Fisher did a great job writing the film and Denzel's direction is right on the money. See it opening weekend. You won't be disappointed.",1
55,"I really wish that when making a comedy, the people actually tried to make it funny. This is a film that you can sit through, but nothing is special about it. After watching it, you will say that it was alright. It was not boring to watch, but gave the audience no jokes to laugh at. Entertainment should mean that you actually get something more than an o.k. story. This movie wanted to be ""Tootsie"", but instead it failed.<br /><br />I gave it a 1 out of 10.",0
56,Red Rock West is one of those rare films that keeps you guessing the entire time as to what will happen next. Nicolas Cage is mistaken for a contract killer as he enters a small town trying to find work. Dennis Hopper is the bad guy and no one plays them better. Look for a brief appearance by country singing star Dwight Yoakam. This is a serious drama most of the time but there are some lighter moments. What matters is that you will enjoy this low budget but high quality effort!,1
57,"this movie was one of the best disney movies i've ever seen. great for the entire family to watch. the ideas may be a little far-fetched, but it's a feel-good comedy and the acting is great. love the little boy, j.p. and academy award winner adrien brody's part may have been very short, but very memorable. highly recommended.",1
58,"It's highly stylized, but this movie shows that real people appear on these shows and what seems like good fun and a chance to appear on television can have serious consequences.<br /><br />Yes, i's mostly comedy, but there are some sad moments.",1
59,for whoever play games video games here did anybody notice that the GTA:Vice City Mansion inside the game and some other things including weapons from the movie that are connected to this movie and this movie inspired the makers of the game (Rockstar Games) to copy some things from this movie and by the way this is one of the best 80's movies out there i recommend this for anybody who still didn't see it 10/10 no questions asked,1
60,"This film, The Alamo:Thirteen Days to Glory, is utter rubbish. The acting is awful, it is far too patriotic and its historical accuracy is not always at its best (Historians would have a field day). It does have a few good moments but not enough to keep interest because it is far too long. Rating * out of **********.",0
61,"Well let me go say this because i love history and I know that movie is most important piece in our history and it was beautifully executed movie and Julia Stiles became my #1 favorite actress after seeing her in ""The '60s"" and i own this movie in my video box with many movies and i suggest you to look for her new movies in the future and try to enjoy history!!!!",1
62,"As a veteran of many, many pretentious French films I thought I'd taken the worst the industry had to offer and was able to stomach anything. But not this. Pointless, relentless, violent, unpleasant, meaningless ... The film has nothing to offer and is random hatred and aggression dressed up as pretentious art. Avoid at all costs.",0
63,"I saw ""A Page of Madness"" in a silent film course at Wesleyan University and it haunts me still after 25 years. Truly ahead of its time - perhaps even still - this gem of a film reveals both the frightening and attractive aspects of madness.",1
64,"I gave 1 to this film. I can't understand how Ettore Scola,one of the greater directors of Italian cinema, made a film like this, so stupid and ridiculous! All the stories of the people involved in the movie are unsubstantial,boring and not interesting. Too long,too boring. The only things I save in this movie are Giancarlo Giannini and Vittorio Gasmann. Hope that Scola will change radically themes and style in his next film.",0
65,"This was a complete disappointment. The acting isn't bad, but the production was just so bad that at times I felt I needed to stop it, but I sadly made it through and was able to finish it a bit embarrassed by the whole poor movie. It is o.k. if you are o.k. with cheesy moral plots and don't mind watching a movie that vastly misconstrues Whitman. If you want a cheesy fictional story go for it.",0
66,"I don't believe this was an acting challenge for Richard Harris. This was an uncomplicated plot, yet interesting. It is a good movie to watch when you don't want to do a lot of thinking, just want to be told a simple story. The Canadian scenery was breathtaking. The beautiful Fall shots alone made the picture worth seeing.",1
67,"Based on Christy Brown's autobiographical novel, this endearing film tells the story of his life, him being affected by cerebral palsy and being considered basically not a person by everyone including his mother. Amazingly, he teaches himself to draw and write using his foot, which is the only part of him he can control. An amazing story of courage with a truly amazing and unforgettable oscar winning performance by Daniel Day Lewis. 9 of 10",1
68,"This was Barbra Streisand's first television special and is ""must see"" viewing for any Streisand fan. Even non-Streisand fans will enjoy this highly energetic and entertaining piece of entertainment history. Performers like this only come our way once in a lifetime. Brilliant!",1
69,"I had never heard of this Adam Sandler movie until I saw it on the wall at Blockbuster. Being an Adam Sandler fan at the time, I rented it. HONESTLY I could only watch about 30 mins. of it. It was TERRIBLE. Do whatever it takes to keep this out of the hands of the public. I honestly hope this movie goes OOP soon, and I hope it STAYS THAT WAY!",0
70,"This highly derivative film will be entertaining for the many who have not seen some of the more obscure anime films. I enjoyed most of it, especially after the rather flat opening minutes in the museum (although the pre-title sequence is very entertaining and includes some of the better bits of animation). James Garner as the Commander and Leonard Nimoy as the King give impressive performances.",1
71,At first i thought that it was just about Eddie Murphy talking to some stupid animals. I was right. Some people called this movie Eddie Murphy's comeback! Who are these people? Jesus if this is the best he can come up with he can just stay away. What was the story again? I was so annoyed by all the lame jokes i forgot. I should have walked out on this one.,0
72,Sometimes you wonder how some people get funding to create a movie as bad as this one. You can only stand about 5 minutes of this utter piece of garbage before you stomp back into blockbuster and demand your money back. I will now look at Michael Clarke Duncan with apprehension...why....he lent his name to this vermin.,0
73,"I saw the movie before I read the Michelle Magorian book and I enjoyed both. The movie, more than the book, made me come close to tears on several occasions. This film touches the deepest points of the human soul and never lets go. I encourage as many people to watch this masterpiece as much and as soon as possible. I give it ten stars.",1
74,One of my favorite scenes is at the beginning when guests on a private yacht decide to take an impromptu swim - in their underwear! Rather risqué for 1931!,1
75,"What can I say? I ignored the reviews and went to see it myself. Damn the reviews were so right. What a waste of money considering it's budget.<br /><br />Good thing, I went to see Kill Bill after this one.<br /><br />To see a really scary movie, would be Crossroads!<br /><br />Bottom line-- I like ""Girl in Gold Boots"" better than this crap.",0
76,"As I watched this movie I began to feel very nostalgic. As a child growing up in a rural area I felt as if I was a kid again! The swimming pond (it's called a ""tank"" in Central Texas), the running through the countryside like a wild free spirit! The story was very believable and I totally lost it and cried toward the end. Through the pain we go through in life...life goes on and there can be forgiveness.",1
77,"being a NI supporter, it's hard to objectively review a movie glorifying ulster nationalists. characters who are hard to root for, typical heavy-handed anti-violence messages, and a predictable 'poetic justice' ending makes this an awkward watch...",0
78,I thoroughly enjoyed this film for its humor and pathos. I especially like the way the characters welcomed Gina's various suitors. With friends (and family) like these anyone would feel nurtured and loved. I found the writing witty and natural and the actors made the material come alive.,1
79,"a bit slow and boring, the tale of an old man and his wife living a delapidated building and interacting with a fixed cast of characters like the mailman, the brothers sitting on the porch, the wealthy cigar smoking man. The photography of the river is marvelous, as is the interior period decoration. If you like decoration of Banana Republic stores, this is a must.",1
80,"Wow, what a snoozer. Definately one of bacon's worst films. The bad acting coupled with a formulatic, if not incredulous, script make me yearn for time I wasted on viewing this on cable television back. Not really much I can say about it, a basketball scout gets too attached to the person he's recruiting, who happens to belong to a tribe that happens to be on the verge of war which happens to be decided by (spoiler) a basketball game. Grade: F+",0
81,"A top contender for worst film ever made. Joanna Pakula's character seems to have an I.Q. of 3 which is only one less than the writer and director. The screenplay would not have passed in a high school writing class; the ""jokes"" are juvenile; the concept corny. These performers were obviously desperate for work. I stayed to the end only to see if it would get worse. It did. Life is too short to spend any part of it watching this film.",0
82,"Ten minutes worth of story stretched out into the better part of two hours. When nothing of any significance had happened at the halfway point I should have left. But, ever hopeful, I stayed. And left with a feeling of guilt for having wasted the time. Acting was OK, but the story line is so transparent and weak. The script is about as lame as it could get, but again, stretching out the ten minute plot doesn't leave a whole lot of room for good dialogue.",0
83,The movie was disappointing. The book was powerful. The views and the learning of Little Tree were powerfully portrayed in the book. The movie just coasted along and finally dribbled away. Still a nice tale for kids.,0
84,this is really films outside (not in a motel room). With real costumes (not only strings and swimsuits). You have to see this movie. it's the only porn movie I know that is worth watching between the sex scenes.<br /><br />Bon Cinema<br /><br />Laurent,1
85,"Yeah sure it's cheesy, it's not Zombie, but it's not that bad either. It has Beatrice Ring which is a huge bonus, and it's entertaining. I had the good fortune to meet Fulci later in his career and he remained philosophical about the experience, as he was never completely satisfied with it. It is well worth a search out, especially for genre and Fulci fans. It is a film that is far too often dismissed out of hand.",1
86,"Hollow point is an alright movie worth a half price rental or if nothing else is on a good time waster with no thought required. There are the requisite explosions and hammy acting and pretty ladies. A pretty good cast with Donald Sutherland, John Lithgow, and the lovely Tia Carrere. This cast plus a light hearted touch make for a not a great movie but a fun one..on a scale of one to ten ..a 4",0
87,"The plot of the story and the performance of the lead actors are very much down-to-earth! The romance between two teen-age boys on the screen was done in good taste. You can easily relate to their emotions if you are one but if you are not one, you can appreciate the kind of love the film is trying to impart.",1
88,What can I say? I know this movie from start to finish. It's hilarious. It's an strong link to my past and will change the way I view film in the future. Hypothetically speaking :) The down-fall? There's no Socrates Johnson!,1
89,"While this is a faithful adaptation, it is much less exciting than Greene's novel. Also, it's a bit ridiculous when people say things to Boyer like, ""You're Spanish, aren't you?""<br /><br />Still, the movie's not at all bad, just slow-moving.<br /><br />",1
90,"The scenery is pretty and the dog is cute. Other than that, this film has absolutely nothing to recommend it. Jack Warden is pleasantly genial as usual, but the script is so awful that even he comes off badly. The plot makes no sense, the dialogue is dumb, and there are numerous smaller faults. But the dog is cute...",0
91,"Along with Fernando Fragata, João Mário Grilo, Abi Feijó, Leonel Vieira, étc...(other commercial directors), Diamantino Costa is one of the best Portuguese Directors; ""O Lampião da Estrela"" was his (Diamantino Costa) First movie, before he made several successful commercials. This title is starred by one of the best Portuguese comedians of all times, Herman José and José Pedro Gomes are great. Its a very funny movie!! (28/07/2000)<br /><br />BOA SORTE DIAMANTINO...",1
92,"An enjoyable Batman animated film. Not on par with ""Return of the Joker"" or ""Mask of the Phantasm"", but solid nonetheless. I liked how the movie kept you guessing as to who Batwoman was. There was nice twist. Nice action sequences. I've always been of the opinion that the Batman cartoons are better then any of the pitiful Batman live action film sequels. The trend continues here.<br /><br />7.5 out of 10",1
93,"Motocrossed was fun, but it wasn't that great. I guess I just didn't understand a lot of the Motocross racing ""lingo"" (and there was A LOT of that in the film)! The plot wasn't what I expected from the Disney Channel previews, so that could account for some of my disappointment.",0
94,"I thought that this movie was pretty lame. If you're looking for cheesey, you may like this. I, myself, don't mind a fair amount of cheese, but this was ridiculous. The progression of the movie bored me and the storyline was very weak.<br /><br />The only thing entertaining about this movie was the day-glo zombies, but even that isn't reason enough to see this flick.",0
95,Avoid the USA version. It is with added US footage and the worst dubbing you've ever heard probably done by New York amateurs. The dubbing is so bad that it sounds like Mystery Science Theater 3000. I think a black guy from the Bronx does Chiba's voice. I couldn't watch the entire film it was that bad. Instead of this Americanized version watch Chiba's other greats like The Streetfighter or Karate Warriors.,0
96,It is a good film for kids who love dogs. It runs a bit slow early on but ends if a flurry of gooped up De Vil. The basic plot is the same as the first movie. The bright side of the movie for adults is the talking bird that thinks it is a dog. The bird talks like a human(Eric Idle of Monty Python) and barks like a dog. It is the comedy that the film needed more of. See it in the matinee so you don't have to pay full price or wait for it to appear on Disney.,0
97,"This movie is great. If you enjoy watching B-class movies, that is. This is a classic college 80's slasher movie, in which one song is played throughout the entire soundtrack. A horrible film, but worth renting to make fun of, or just to watch old men pop out of closets with knives. Kinda funny, if you ask me.",1
98,This movie was awful in the worst way: you just didn't care. You didn't care what happened in the plot; you didn't care about the characters. Everyone was devoid of heart. I ended up walking out about an 45 minutes into it because I simply didn't want to subject my mind to it any more. There is far too much sex in the film. Sex can be okay; it can even make the movie (hence Karma Sutra) but the intercourse here was not beautiful or sexy. It was just ugly. Don't see this film.,0
99,"This movie is a blatant attempt by the left in Hollywood to portray Reagan's administration as incompetent and bungling. Some mistakes may have been made at the time of the crisis, but I'm sure not to the extent portrayed in this lame movie. My first reaction was that this movie had to have been directed by Oliver Stone, but I was wrong this time. There are apparently many others.",0
100,"Ruth Gordon is one of the more sympathetic killers that Columbo has ever had to deal with. And, the plot is ingenious all the way around. This is one of the best Columbo episodes ever. Mariette Hartley and G. D. Spradlin are excellent in their supporting roles. And Peter Falk delivers a little something extra in his scenes with Gordon.",1
101,"A great ensemble cast! A fond remembrance of younger carefree days. This movie takes me back to when I went to summer camp. Indian Summer, while full of practical jokes and pranks, is about growing up and coming to terms with life with middle-age life. My family & I thoroughly enjoyed this movie.",1
102,"This movie is an incredible piece of work. It explores every nook and cranny of the human mind, focusing on the characters relationships with the people around them. Stellar performances all around. This one had me weeping for about half an hour straight. Spend some real time with this one.",1
103,"This movie is probably my favorite movie of all time. Miriam Flynn is excellent as Bunny Packard. Zane Buzby as Delores is comic genius. The rest of the cast is amazing, and the film is really really funny. A definite satire of horror films, with a zany twist. If you enjoy a fun, comedy filled evening, then go and rent this classic. You'll laugh all the way through!",1
104,"For a mature man, to admit that he shed a tear over this film is a mature response, to a mature film.<br /><br />If one need admit more then perhaps one could say that, ""Life"" can never be the same, after viewing such advent for it has moved us to the next level.<br /><br />",1
105,"Very poor effort that offers pretty much nothing to anyone but a hardcore fan of Stanley Tucci, who tries, but can not save the poor structure, dialogue, direction, or talent of our leading man.<br /><br />Pretty much the only trick this plodding tale of a naive new salesman for an alarm company has, is its quirky side characters. But without a realistic backdrop, such characters are pointless.<br /><br />Nothing to see here, keep moving...<br /><br />",0
106,"The movie had so much potential, but due to 70's technology constraints and also a weak script killed the main plot of the film. The book version of the film was much better, and well conceived. If it had been done right in the beginning with sources from the book, it could have been a very cool classic.",0
107,"This Wrestlemania just didn't do it for me. While some things, such as the battle royal and involvement of celebrities were a throwback to the good old days, so to speak, it seemed to be more of a highbrow ""In Your House"" than anything else. Above average...worth it for several matches such as the tag team title match, although worthy of note is that the title change meant nothing, as it was reversed the next night.",1
108,"The romance of the movie, which is also its main theme, is good and nicely presented. However, the surrounding of the love story is too lyric, graphical and unrealistic. Even worse, the psychology of the main character is weird and incomprehensible, exactly like the end of the movie. Don't hesitate to watch this movie, if it attracted your interest, but don't expect too much of it either.",1
109,"Considering the big name cast and lavish production I expected a lot more of this film. The acting for the most part is great, although the story they have to work with is mediocre at best. However the film still warrants watching because of the acting and the stars and some and up and coming young talent.",1
110,"This film has the look and feel of a Student film project. Yeah, there are some interesting (albeit gimmicky) edits and shots, but the end result was juvenile.<br /><br />The director didn't seem to be saying ""Look at this film."" It seemed as if he were saying, ""Look at ME! I'm a DIRECTOR!""<br /><br />Thumbs down.",0
111,"But I got over it. To me, it seemed that even the Author of the book favored Caroline. I felt so sorry for the character Louise, and she was constantly compared with Esau who was evil, I just felt the comparison was a bit harsh and un-realistic. Really though, the movie was bad. I wouldn't really see it unless you're ready for a big let down.",0
112,An excellent family movie... gives a lot to think on... There's absolutely nothing wrong in this film. Everything is just perfect. The script is great - it's so... real... such things could happen in everyone's life. And don't forget about acting - it's just awesome! Just look at Frankie and You'll know what I thought about... This picture is a real can't-miss!!!,1
113,"I liked the movie a real lot. Wanted to see it just for Dara Tomanovich, but the plot and story were ok too. A very cool change in plot when you least expect it.",1
114,I have seen the short movie a few years ago. After that I watch all sequels. The first one is really not the best - but it's the most popular one. I've already watch the making of Guinea Pig 1. It's really great what these guys did. Also the sequels are excellent in the special effects. Take your chance to watch it!,1
